,current_status,geometry,route_id,vehicle_id,latitude,longitude,bearing,timestamp,speed,time
0,STOPPED_AT,POINT (-118.34463500976562 34.09082794189453),4-13167,9525,34.09082794189453,-118.34463500976562,270.4245910644531,1678707899.0,2.101087808609009,2023-03-13 04:44:59-07:00
1,STOPPED_AT,POINT (-118.2508544921875 34.04621124267578),4-13167,9540,34.04621124267578,-118.2508544921875,210.0,1678707730.0,10.281919479370115,2023-03-13 04:42:10-07:00
2,IN_TRANSIT_TO,POINT (-118.30552673339844 34.09074401855469),4-13167,9583,34.09074401855469,-118.30552673339844,89.7497329711914,1678707898.0,12.606528282165527,2023-03-13 04:44:58-07:00
3,IN_TRANSIT_TO,POINT (-118.4390640258789 34.04926300048828),4-13167,8718,34.04926300048828,-118.4390640258789,251.06629943847656,1678707650.0,13.858240127563477,2023-03-13 04:40:50-07:00
4,IN_TRANSIT_TO,POINT (-118.3970947265625 34.06704330444336),4-13167,8723,34.06704330444336,-118.3970947265625,50.38546752929688,1678707899.0,9.70076847076416,2023-03-13 04:44:59-07:00
5,STOPPED_AT,POINT (-118.23931884765625 34.05828857421875),4-13167,8729,34.05828857421875,-118.23931884765624,268.0,1678707899.0,0.0447040013968944,2023-03-13 04:44:59-07:00
6,IN_TRANSIT_TO,POINT (-118.48043060302734 34.02833557128906),4-13167,8809,34.02833557128906,-118.48043060302734,45.7503547668457,1678707872.0,10.281919479370115,2023-03-13 04:44:32-07:00
7,STOPPED_AT,POINT (-118.45006561279297 34.02814483642578),4-13167,8804,34.02814483642578,-118.45006561279295,252.0,1678707900.0,20.876768112182617,2023-03-13 04:45:00-07:00
8,STOPPED_AT,POINT (-118.38250732421875 34.08446502685547),4-13167,8832,34.08446502685547,-118.38250732421876,,1678707849.0,,2023-03-13 04:44:09-07:00
9,STOPPED_AT,POINT (-118.24900817871094 34.065067291259766),4-13167,8834,34.065067291259766,-118.24900817871094,328.8779602050781,1678707898.0,2.1904959678649902,2023-03-13 04:44:58-07:00
10,IN_TRANSIT_TO,POINT (-118.34986114501953 34.09080123901367),4-13167,9525,34.09080123901367,-118.34986114501952,270.5071105957031,1678707969.0,11.533631324768066,2023-03-13 04:46:09-07:00
11,STOPPED_AT,POINT (-118.25934600830078 34.03773880004883),4-13167,9540,34.03773880004883,-118.25934600830078,,1678707906.0,0.8940799832344055,2023-03-13 04:45:06-07:00
12,IN_TRANSIT_TO,POINT (-118.30064392089844 34.09075927734375),4-13167,9583,34.09075927734375,-118.30064392089844,89.53719329833984,1678707968.0,1.2517119646072388,2023-03-13 04:46:08-07:00
13,IN_TRANSIT_TO,POINT (-118.4390640258789 34.04926300048828),4-13167,8718,34.04926300048828,-118.4390640258789,251.06629943847656,1678707650.0,13.858240127563477,2023-03-13 04:40:50-07:00
14,IN_TRANSIT_TO,POINT (-118.3947982788086 34.06700134277344),4-13167,8723,34.06700134277344,-118.3947982788086,50.35425567626953,1678707969.0,7.4655680656433105,2023-03-13 04:46:09-07:00
15,STOPPED_AT,POINT (-118.24302673339844 34.060089111328125),4-13167,8729,34.060089111328125,-118.24302673339844,301.0,1678707969.0,10.192511558532717,2023-03-13 04:46:09-07:00
16,IN_TRANSIT_TO,POINT (-118.48043060302734 34.02833557128906),4-13167,8809,34.02833557128906,-118.48043060302734,45.7503547668457,1678707872.0,10.281919479370115,2023-03-13 04:44:32-07:00
17,STOPPED_AT,POINT (-118.46741485595703 34.025115966796875),4-13167,8804,34.025115966796875,-118.46741485595705,252.0,1678707970.0,25.168352127075195,2023-03-13 04:46:10-07:00
18,STOPPED_AT,POINT (-118.38250732421875 34.08446502685547),4-13167,8832,34.08446502685547,-118.38250732421876,,1678707849.0,,2023-03-13 04:44:09-07:00
19,IN_TRANSIT_TO,POINT (-118.25068664550781 34.07194900512695),4-13167,8834,34.07194900512695,-118.2506866455078,351.6822204589844,1678707968.0,13.590015411376951,2023-03-13 04:46:08-07:00
20,IN_TRANSIT_TO,POINT (-118.34986114501953 34.09080123901367),4-13167,9525,34.09080123901367,-118.34986114501952,270.5071105957031,1678707969.0,11.533631324768066,2023-03-13 04:46:09-07:00
21,STOPPED_AT,POINT (-118.25934600830078 34.03773880004883),4-13167,9540,34.03773880004883,-118.25934600830078,,1678707906.0,0.8940799832344055,2023-03-13 04:45:06-07:00
22,IN_TRANSIT_TO,POINT (-118.30064392089844 34.09075927734375),4-13167,9583,34.09075927734375,-118.30064392089844,89.53719329833984,1678707968.0,1.2517119646072388,2023-03-13 04:46:08-07:00
23,IN_TRANSIT_TO,POINT (-118.4390640258789 34.04926300048828),4-13167,8718,34.04926300048828,-118.4390640258789,251.06629943847656,1678707650.0,13.858240127563477,2023-03-13 04:40:50-07:00
24,IN_TRANSIT_TO,POINT (-118.3947982788086 34.06700134277344),4-13167,8723,34.06700134277344,-118.3947982788086,50.35425567626953,1678707969.0,7.4655680656433105,2023-03-13 04:46:09-07:00
25,STOPPED_AT,POINT (-118.24302673339844 34.060089111328125),4-13167,8729,34.060089111328125,-118.24302673339844,301.0,1678707969.0,10.192511558532717,2023-03-13 04:46:09-07:00
26,IN_TRANSIT_TO,POINT (-118.48043060302734 34.02833557128906),4-13167,8809,34.02833557128906,-118.48043060302734,45.7503547668457,1678707872.0,10.281919479370115,2023-03-13 04:44:32-07:00
27,STOPPED_AT,POINT (-118.46741485595703 34.025115966796875),4-13167,8804,34.025115966796875,-118.46741485595705,252.0,1678707970.0,25.168352127075195,2023-03-13 04:46:10-07:00
