Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Geo_PLACE,Geo_CSA,SE_T004_019,SE_T004_001,SE_T004_003,SE_T004_005,SE_T004_007,SE_T004_009,SE_T004_011,SE_T004_013,SE_T004_015,SE_T004_017,SE_T005_019,SE_T005_001,SE_T005_003,SE_T005_005,SE_T005_007,SE_T005_009,SE_T005_011,SE_T005_013,SE_T005_015,SE_T005_017,SE_T006_019,SE_T006_001,SE_T006_003,SE_T006_005,SE_T006_007,SE_T006_009,SE_T006_011,SE_T006_013,SE_T006_015,SE_T006_017,SE_T017_020,SE_T017_002,SE_T017_004,SE_T017_006,SE_T017_008,SE_T017_010,SE_T017_012,SE_T017_014,SE_T017_016,SE_T017_018
"06037433601","Census Tract 4336.01","Census Tract 4336.01, Los Angeles County, California","00","06","037",,"433601",,,4586,3272,130,6,9,3088,1,9,29,1314,4923,3370,197,16,3,3126,3,3,22,1553,-336.999999999999,-97.9999999999995,-67,-10,6,-37.9999999999995,-2,6,7,-239,-6.84541945967904,-2.90801186943619,-34.010152284264,-62.5,200,-1.21561100447855,-66.6666666666667,200,31.8181818181818,-15.3895685769479
"06037433602","Census Tract 4336.02","Census Tract 4336.02, Los Angeles County, California","00","06","037",,"433602",,,2858,1914,65,3,5,1811,2,0,28,944,2803,1775,119,3,0,1634,1,1,17,1028,55,139,-54,0,5,177,1,-1,11,-84,1.96218337495541,7.83098591549296,-45.3781512605042,0,,10.8323133414933,100,-100,64.7058823529412,-8.17120622568093
"06037433803","Census Tract 4338.03","Census Tract 4338.03, Los Angeles County, California","00","06","037",,"433803",,,3037,951,88,16,0,832,0,3,12,2086,2780,502,124,2,2,355,0,3,16,2278,257,449,-36,14,-2,477,0,0,-4,-192,9.24460431654676,89.4422310756972,-29.0322580645161,700,-100,134.366197183099,,0,-25,-8.42844600526778
"06037433804","Census Tract 4338.04","Census Tract 4338.04, Los Angeles County, California","00","06","037",,"433804",,,4497,676,118,6,6,523,0,7,16,3821,4857.51842675751,523,134,8,8,342,1,11,19,4334.51842675751,-360.51842675751,153,-16,-2,-2,181,-1,-4,-3,-513.51842675751,-7.42186431597672,29.2543021032505,-11.9402985074627,-25,-25,52.9239766081871,-100,-36.3636363636364,-15.7894736842105,-11.8471852279482
"06037433901","Census Tract 4339.01","Census Tract 4339.01, Los Angeles County, California","00","06","037",,"433901",,,5097,1236,88,19,4,1069,1,27,28,3861,5593,1305,129,26,3,1105,1,8,33,4288,-496,-69,-41,-7,1,-36,0,19,-5,-427,-8.86822814232076,-5.28735632183908,-31.7829457364341,-26.9230769230769,33.3333333333333,-3.2579185520362,0,237.5,-15.1515151515152,-9.9580223880597
"06037433903","Census Tract 4339.03","Census Tract 4339.03, Los Angeles County, California","00","06","037",,"433903",,,5619,1000,122,13,4,817,0,24,20,4619,6189.48157324249,694,194,8,5,468,2,6,11,5495.48157324249,-570.48157324249,306,-72,5,-1,349,-2,18,9,-876.48157324249,-9.21695244572207,44.0922190201729,-37.1134020618557,62.5,-20,74.5726495726496,-100,300,81.8181818181818,-15.949131328364
"06037434001","Census Tract 4340.01","Census Tract 4340.01, Los Angeles County, California","00","06","037",,"434001",,,4715,1015,117,19,3,834,7,8,27,3700,4394.96966323747,555.996398732706,125.998943106338,14.9999608557903,2.99992171158057,394.997612203207,4.99996085579029,0,12,3838.97326450476,320.030336762529,459.003601267294,-8.99894310633769,4.00003914420972,7.82884194303612E-05,439.002387796793,2.00003914420971,8,15,-138.973264504764,7.28174165659166,82.5551392623243,-7.14207824643654,26.6669972186335,0.0026096820836405,111.140516862402,40.0010960464528,,125,-3.62006335885989
"06037434003","Census Tract 4340.03","Census Tract 4340.03, Los Angeles County, California","00","06","037",,"434003",,,4093,704,88,7,8,574,0,16,11,3389,4273,605,175,9,5,398,1,2,15,3668,-180,99,-87,-2,3,176,-1,14,-4,-279,-4.21249707465481,16.3636363636364,-49.7142857142857,-22.2222222222222,60,44.2211055276382,-100,700,-26.6666666666667,-7.60632497273719
"06037434004","Census Tract 4340.04","Census Tract 4340.04, Los Angeles County, California","00","06","037",,"434004",,,2746,369,73,10,3,251,1,15,16,2377,2796,264,106,5,10,125,3,5,10,2532,-50.0000000000005,105,-33,5,-7,126,-2,10,6,-155,-1.78826895565095,39.7727272727273,-31.1320754716981,100,-70,100.8,-66.6666666666667,200,60,-6.1216429699842
"06037434100","Census Tract 4341","Census Tract 4341, Los Angeles County, California","00","06","037",,"434100",,,6509,1560,134,15,11,1356,0,3,41,4949,6802,1322,220,15,2,1056,6,3,20,5480,-293,238,-86,0,9,300,-6,0,21,-531,-4.30755660099971,18.0030257186082,-39.0909090909091,0,450,28.4090909090909,-100,0,105,-9.68978102189781
